4731128,Worcester 242 OF (SEE 47-311-33) (LPG),Worcester 242 OF (SEE 47-311-33) (LPG),1002910,242 Series,10F0002,242 Series,10,Worcester,Worcester,Worcester 242 Series,Worcester 242 Series,- Unknown -,- Unknown -,- Unknown -,99,- Unknown -,0,0,,,Actual,Major,Large,Large,Boiler Bible (Mk2),Unknown,Unknown,No,,,,,,,,,- Unknown -,- Unknown -,- Unknown -,,,4,4,1,0,0,Worcester2,242 Series1,242 Series3,FAM10000,PA10002P,B1000203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Unknown -,,,- Unknown -,- Unknown -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4731127,Worcester 242 RSF (SEE 47-311-31) (LPG),Worcester 242 RSF (SEE 47-311-31) (LPG),1002910,242 Series,10F0002,242 Series,10,Worcester,Worcester,Worcester 242 Series,Worcester 242 Series,- Unknown -,- Unknown -,- Unknown -,99,- Unknown -,0,0,,,Actual,Major,Large,Large,Boiler Bible (Mk2),Unknown,Unknown,No,,,,,,,,,- Unknown -,- Unknown -,- Unknown -,,,4,4,1,0,0,Worcester2,242 Series1,242 Series4,FAM10000,PA10002P,B1000204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Unknown -,,,- Unknown -,- Unknown -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4731113,Worcester 350 (WITHOUT SOLENOID DIVERTER VALVE),Worcester 350 (WITHOUT SOLENOID DIVERTER VALVE),1010510,350 Series,10F0003,350 Series,10,Worcester,Worcester,Worcester 350 Series,Worcester 350 Series,Combi,Non-Condensing,Gas,35,Basic,0,0,,,Actual,Major,Large,Large,Boiler Bible,Unknown,Unknown,No,,Wall,Combination,Wall Mounted Combination Boiler,900,500,310,900x500x310,No,No,Yes,161,8619.5,1,1,1,1,1,Worcester3,350 Series1,350 Series1,FAM10000,PA10003P,B1000301,,,,,,,,,NA,,NA,NA,No,Yes,NA,,Not Known,Worcester 350 Combi Installation and Servicing Instructions,Wall,Indoor,Room Sealed,900,500,310,900x500x310,67,72,60,,,,,Gas,DHW Flow,Water,CH Flow,CH Return,,,,,,,,,,,,,,,,,,,,Vertical,No,No,Yes,,Located inside boiler,Yes,NA,NA,Yes,Yes,Yes,Yes,Optional,No,Optional,No,No,Yes,Yes,Located on the control panel,NA,NA,NA,Yes,NA,No,NA,Auto,Yes,Yes,Yes,Located on the control panel,Located on the control panel,Within 2m of the boiler (at the location of the filling loop),Flexible,Within 2m of the boiler,NA,No,NA,82,NA,NA,NA,No,Yes,NA,Room Sealed,Yes,Yes,Yes,No,Side|Top|Rear,Yes,3,NA,Yes,Yes,NA,Yes
PAB5092,Worcester BRITISH GAS CS1 - ZB 7-28A ,Worcester BRITISH GAS CS1 - ZB 7-28A ,1003310,British Gas CS1 Series,10F0004,British Gas  ,10,Worcester,Worcester,Worcester British Gas  ,Worcester British Gas CS1 Series,System,Condensing,Gas,99,Intelligent,13,2,,,Actual,Major,Large,Large,Boiler Bible (Mk2),Unknown,Unknown,No,,,,,,,,,- Unknown -,- Unknown -,- Unknown -,,,1,12,6,1,1,Worcester4,British Gas  1,British Gas CS1 Series1,FAM10000,PA10004P,B1000401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Unknown -,,,- Unknown -,- Unknown -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4740603,Worcester BRITISH GAS 532/I (LPG),Worcester BRITISH GAS 532/I (LPG),1016710,British Gas i LPG,10F0004,British Gas  ,10,Worcester,Worcester,Worcester British Gas  ,Worcester British Gas i LPG,Combi,Condensing,LPG,30,Intelligent,11,5,,,Actual,Major,Large,Large,Boiler Bible (Mk2),2005,Current,No,,Wall,Condensing Combination,Wall Hung RSF Gas Fired Condensing Combination Boiler,750,440,360,750x440x360,Yes,Yes,Yes,18,,3,12,6,1,0,Worcester4,British Gas  2,British Gas i LPG1,FAM10000,PA10005P,B1000501,10458,0.9,0.91,0.63,0.92,0.81,modulating 30.0 - 30.0 kW,Wall Condensing,,,,,,,,,,,Wall,Indoor,Room Sealed: Fan,750,440,360,750x440x360,,,,,,,,CH Flow,CH Return,Gas,DHW Flow,Water,,,,,,,,,,,,,,,,,,,,,,Yes,,,- Unknown -,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4740605,Worcester BRITISH GAS 537/I (LPG),Worcester BRITISH GAS 537/I (LPG),1016710,British Gas i LPG,10F0004,British Gas  ,10,Worcester,Worcester,Worcester British Gas  ,Worcester British Gas i LPG,Combi,Condensing,LPG,30,Intelligent,11,5,,,Actual,Major,Large,Large,Boiler Bible (Mk2),2005,Current,No,,Wall,Condensing Combination,Wall Hung RSF Gas Fired Condensing Combination Boiler,750,440,360,750x440x360,Yes,Yes,Yes,18,,3,12,6,0,0,Worcester4,British Gas  2,British Gas i LPG2,FAM10000,PA10005P,B1000502,10452,0.9,0.91,0.63,0.92,0.81,modulating 30.0 - 30.0 kW,Wall Condensing,,,,,,,,,,,Wall,Indoor,Room Sealed: Fan,750,440,360,750x440x360,,,,,,,,CH Flow,CH Return,Gas,DHW Flow,Water,,,,,,,,,,,,,,,,,,,,,,Yes,,,- Unknown -,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4740607,Worcester BRITISH GAS 542/I (LPG),Worcester BRITISH GAS 542/I (LPG),1016710,British Gas i LPG,10F0004,British Gas  ,10,Worcester,Worcester,Worcester British Gas  ,Worcester British Gas i LPG,Combi,Condensing,LPG,30,Intelligent,11,5,,,Actual,Major,Large,Large,Boiler Bible (Mk2),2005,Current,No,,Wall,Condensing Combination,Wall Hung RSF Gas Fired Condensing Combination Boiler,750,440,360,750x440x360,Yes,Yes,Yes,18,,3,12,6,0,0,Worcester4,British Gas  2,British Gas i LPG3,FAM10000,PA10005P,B1000503,10454,0.9,0.91,0.63,0.92,0.81,modulating 30.0 - 30.0 kW,Wall Condensing,,,,,,,,,,,Wall,Indoor,Room Sealed: Fan,750,440,360,750x440x360,,,,,,,,CH Flow,CH Return,Gas,DHW Flow,Water,,,,,,,,,,,,,,,,,,,,,,Yes,,,- Unknown -,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
